,trade_id,product_id,price,size,time,side,exchange,bid,ask
9149,590177312,ETH-USD,3456.04,0.001,2025-01-02 15:36:12.354186+00:00,BUY,,,
9150,590177213,ETH-USD,3455.36,0.00072632,2025-01-02 15:35:57.643161+00:00,SELL,,,
9151,386677189,ETH-USD,3454.6,0.04283,2025-01-02 15:35:42.887000+00:00,BUY,,,
9152,590177021,ETH-USD,3456.55,0.00228562,2025-01-02 15:35:27.890088+00:00,SELL,,,
9153,590176913,ETH-USD,3455.79,0.01,2025-01-02 15:35:12.846473+00:00,BUY,,,
9154,590176753,ETH-USD,3457.63,0.60417,2025-01-02 15:34:57.360751+00:00,SELL,,,
9155,590176646,ETH-USD,3459.61,0.11550542,2025-01-02 15:34:42.385627+00:00,BUY,,,
9156,2025-01-02T15:34:27.982Z-ETH/USD-3462.828-0.19,ETH-USD,3462.828,0.19,2025-01-02 15:34:27.982000+00:00,UNKNOWN_ORDER_SIDE,,,
9157,590176470,ETH-USD,3459.25,0.04185585,2025-01-02 15:34:12.878019+00:00,SELL,,,
9158,590176395,ETH-USD,3461.25,0.00000791,2025-01-02 15:33:57.241841+00:00,BUY,,,
9159,590176308,ETH-USD,3461.83,0.01371236,2025-01-02 15:33:42.690177+00:00,BUY,,,
9160,590176261,ETH-USD,3462.9,0.41594,2025-01-02 15:33:26.394944+00:00,SELL,,,
9161,590176189,ETH-USD,3462.47,0.23977727,2025-01-02 15:33:11.819066+00:00,BUY,,,
9162,590176101,ETH-USD,3462.52,1.44403663,2025-01-02 15:32:55.956953+00:00,SELL,,,
9163,590176021,ETH-USD,3461.71,0.00059154,2025-01-02 15:32:40.664687+00:00,SELL,,,
9164,590175948,ETH-USD,3460.63,0.01,2025-01-02 15:32:25.096441+00:00,SELL,,,
9165,590175871,ETH-USD,3459.22,0.00332328,2025-01-02 15:32:10.673226+00:00,BUY,,,
9166,590175779,ETH-USD,3458.78,0.20254586,2025-01-02 15:31:55.864233+00:00,SELL,,,
9167,386676598,ETH-USD,3460.6,0.0135,2025-01-02 15:31:40.417000+00:00,BUY,,,
9168,590175663,ETH-USD,3461.37,0.00285483,2025-01-02 15:31:25.298349+00:00,BUY,,,
9169,590175595,ETH-USD,3460.18,0.02855342,2025-01-02 15:31:10.913507+00:00,BUY,,,
9170,2025-01-02T15:30:55.234Z-ETH/USD-3464.141-0.15,ETH-USD,3464.141,0.15,2025-01-02 15:30:55.234000+00:00,UNKNOWN_ORDER_SIDE,,,
9171,590175358,ETH-USD,3468.58,0.00085723,2025-01-02 15:30:40.625603+00:00,SELL,,,
9172,590175269,ETH-USD,3466.51,0.00001184,2025-01-02 15:30:23.274503+00:00,SELL,,,
9173,590175180,ETH-USD,3465.72,0.05474,2025-01-02 15:30:08.628223+00:00,SELL,,,
9174,590175093,ETH-USD,3467.03,0.00021006,2025-01-02 15:29:53.603421+00:00,SELL,,,
9175,590175026,ETH-USD,3467.79,0.01,2025-01-02 15:29:38.708598+00:00,BUY,,,
9176,590174985,ETH-USD,3466.25,0.00066401,2025-01-02 15:29:23.912260+00:00,SELL,,,
9177,590174894,ETH-USD,3465.69,0.01428724,2025-01-02 15:29:08.938172+00:00,SELL,,,
9178,590174829,ETH-USD,3464.92,0.44838119,2025-01-02 15:28:53.403056+00:00,SELL,,,
9179,590174771,ETH-USD,3463.88,0.00331881,2025-01-02 15:28:38.335502+00:00,BUY,,,
9180,590174700,ETH-USD,3467.16,0.001,2025-01-02 15:28:22.301026+00:00,SELL,,,
9181,590174631,ETH-USD,3465.4,0.00090202,2025-01-02 15:28:07.879746+00:00,SELL,,,
9182,590174558,ETH-USD,3467.42,0.0012195,2025-01-02 15:27:52.891780+00:00,SELL,,,
9183,590174498,ETH-USD,3465.96,0.001,2025-01-02 15:27:37.969720+00:00,SELL,,,
9184,590174444,ETH-USD,3468.54,0.01,2025-01-02 15:27:22.880693+00:00,SELL,,,
9185,590174358,ETH-USD,3468.74,0.02284777,2025-01-02 15:27:07.410182+00:00,BUY,,,
9186,590174258,ETH-USD,3465.98,0.01,2025-01-02 15:26:52.771136+00:00,SELL,,,
9187,590174199,ETH-USD,3465.08,0.05589206,2025-01-02 15:26:37.111727+00:00,BUY,,,
9188,590174107,ETH-USD,3465.93,0.01,2025-01-02 15:26:22.250796+00:00,SELL,,,
9189,590174039,ETH-USD,3467.15,0.07297081,2025-01-02 15:26:07.948682+00:00,SELL,,,
9190,2025-01-02T15:25:52.673Z-ETH/USD-3465.106-0.17,ETH-USD,3465.106,0.17,2025-01-02 15:25:52.673000+00:00,UNKNOWN_ORDER_SIDE,,,
9191,590173873,ETH-USD,3463.89,0.01,2025-01-02 15:25:37.310051+00:00,SELL,,,
9192,590173779,ETH-USD,3463.57,0.00328652,2025-01-02 15:25:22.307207+00:00,SELL,,,
9193,590173716,ETH-USD,3460.91,0.00297947,2025-01-02 15:25:07.533440+00:00,BUY,,,
9194,590173654,ETH-USD,3461.32,0.01,2025-01-02 15:24:52.324287+00:00,SELL,,,
9195,590173543,ETH-USD,3463.36,0.00332621,2025-01-02 15:24:37.066127+00:00,SELL,,,
9196,590173479,ETH-USD,3465.14,0.4980062,2025-01-02 15:24:22.466295+00:00,SELL,,,
